message,gold,pred,conf,risk,ev_quality,decision,reason,difficulty,top_sim,correct
@SpotifyCares I installed based on change from Groove. My version is 1.0.66.478.g1296534d.  Happened immediately after installing Spotify.,app_device_bug,general_complaint_feedback,0.6431,LOW,0.5226,ESCALATE,intent confidence 0.64 < 0.65; evidence flag: intent_mismatch_with_precedent; evidence flag: conflicting_precedent,hard,0.4292,False
"@115888 why is the player UI different in ""Today's Top Hits"", it's incredible, i'd like to enjoy it on my own playlists. Is it coming soon?",feature_how_to,general_complaint_feedback,0.9687,LOW,0.6822,AUTO-HANDLE,"intent confidence 0.97 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2657,False
"@SpotifyCares offline mode slider won't show on macbook desktop, how to fix? I have premium with 1 other device connected. have reinstalled",feature_how_to,playback_streaming_issue,0.3946,MEDIUM,0.2547,ESCALATE,intent confidence 0.39 < 0.65; top-2 intents are close (margin 0.08 < 0.15): 'playback_streaming_issue' vs 'feature_how_to'; evidence flag: weak_similarity; evidence flag: no_supporting_case,easy,0.1693,False
@116130 why am I not able to add a family member to Spotify family? Keep receiving this error. https://t.co/nvbLFGUnso,subscription_plan,subscription_plan,0.546,MEDIUM,0.594,ESCALATE,intent confidence 0.55 < 0.65; top-2 intents are close (margin 0.14 < 0.15): 'subscription_plan' vs 'general_complaint_feedback',medium,0.4462,True
@SpotifyCares Bummer! Thanks!,general_complaint_feedback,general_complaint_feedback,0.9644,LOW,0.7175,ESCALATE,evidence flag: low_information_message,medium,0.4268,True
@115888 when it'll be starts in India?,feature_how_to,general_complaint_feedback,0.864,LOW,0.7072,AUTO-HANDLE,"intent confidence 0.86 and evidence quality 0.71 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.5732,False
"@SpotifyCares . @SpotifyCares @115888 any updates or tracking number or ANYTHING on this? This issue keeps getting comments, and all we see is tumbleweed",playback_streaming_issue,general_complaint_feedback,0.8805,LOW,0.5728,AUTO-HANDLE,"intent confidence 0.88 and evidence quality 0.57 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2281,False
Far out I actually can’t believe how glitchy my Spotify is being lately... plz get it together @115888,playback_streaming_issue,general_complaint_feedback,0.7511,LOW,0.536,AUTO-HANDLE,"intent confidence 0.75 and evidence quality 0.54 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3171,False
"@SpotifyCares This has helped... For now!
When this problem occurs, are there any other ways to fix it without having to turn my decide off?",playback_streaming_issue,general_complaint_feedback,0.9271,LOW,0.4603,ESCALATE,evidence flag: conflicting_precedent,hard,0.2396,False
"@SpotifyCares Hi guys I already have a Premium acc but as a Vodafone customer have premium included in my phone package, how can I redeem this?",subscription_plan,subscription_plan,0.5371,MEDIUM,0.3699,ESCALATE,intent confidence 0.54 < 0.65; evidence flag: intent_mismatch_with_precedent,hard,0.2286,True
"@SpotifyCares Hello! I'm trying to log in to my web player on Chrome, but every time I'm taken to the login/sign up page, I click login, enter my username and password, then I'm taken back to the login/sign up page. Do you know what might be happening?",account_login_access,account_login_access,0.8651,HIGH,0.3661,ESCALATE,evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,hard,0.2404,True
@117153 I'm seeing a lot of 503 errors from the API,playback_streaming_issue,general_complaint_feedback,0.9638,LOW,0.4628,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.46 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2065,False
Ummmmmm @115888 where is @21464’s album?! 😩,content_availability,general_complaint_feedback,0.9299,LOW,0.648,ESCALATE,evidence flag: low_information_message,hard,0.4994,False
"@SpotifyCares what do I have to do to be able to listen to Booba's new album ""Trône""?",feature_how_to,general_complaint_feedback,0.9395,LOW,0.6959,ESCALATE,evidence flag: conflicting_precedent,hard,0.3913,False
"@117153 I know Spotify's going to enter my country - Vietnam so I'd like to change the country setting from US to Vietnam. However, it doesn't work. I only see one option which is US and nothing else. How can I deal with it, please?",content_availability,subscription_plan,0.5142,MEDIUM,0.0982,ESCALATE,intent confidence 0.51 < 0.65; top-2 intents are close (margin 0.07 < 0.15): 'subscription_plan' vs 'feature_how_to'; evidence quality 0.10 < 0.15; evidence flag: weak_similarity; evidence flag: no_supporting_case; evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only,medium,0.1774,False
"@115888 i need to contact customer service in Spain, there is a problem with payment. help help @1390",billing_payment,general_complaint_feedback,0.7116,LOW,0.5441,ESCALATE,evidence flag: precedent_is_boilerplate_only,hard,0.2581,False
"@SpotifyCares 2/2
I asked the handler of the family subscription to send me a new invitation. When I filled up the confirmation page I repeatedly got this message:
""3 - Oops something went wrong, please try again"".
Thanks for any help! :)",subscription_plan,general_complaint_feedback,0.6453,LOW,0.4776,ESCALATE,intent confidence 0.65 < 0.65; evidence flag: precedent_is_boilerplate_only,hard,0.3562,False
"@SpotifyCares It's almost 2018, please tell me you are going to make Siri work with Spotify!  That would make our roads much safer!",feature_how_to,general_complaint_feedback,0.9213,LOW,0.4068,AUTO-HANDLE,"intent confidence 0.92 and evidence quality 0.41 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",easy,0.2221,False
"Dear @116130 you are officially shit. Your suggested songs ""feature"" ruins the listening experience turning everything into a @244027 playlist.",feature_how_to,general_complaint_feedback,0.9564,LOW,0.4805,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.48 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2467,False
Not really happy @SpotifyCares with so far spending over $100 on two SD cards just to have Spotify corrupt them.  2/2,billing_payment,general_complaint_feedback,0.9298,LOW,0.6026,AUTO-HANDLE,"intent confidence 0.93 and evidence quality 0.60 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.2156,False
@SpotifyCares i’ve asked before but never got a definite answer.. are you bringing back the ‘most listened to songs of the year’ made specifically for everyone?,feature_how_to,general_complaint_feedback,0.9144,LOW,0.5746,AUTO-HANDLE,"intent confidence 0.91 and evidence quality 0.57 both clear threshold on a low-risk intent, with 3 supporting precedent(s)",hard,0.2662,False
@SpotifyCares is there a way to chang my membership from monthly to annual so that I can get the lower price in the long run?  Would it work if I cancel my current plan and restart with annual? Would I then lose all my content?,subscription_plan,feature_how_to,0.3702,LOW,0.3935,ESCALATE,intent confidence 0.37 < 0.65; top-2 intents are close (margin 0.01 < 0.15): 'feature_how_to' vs 'cancellation_request',easy,0.2055,False
"@SpotifyCares My card had expired. MAYBE it should just actually say that, rather than a nonsense error which means i don’t know what the issue is?",billing_payment,general_complaint_feedback,0.9336,LOW,0.4813,AUTO-HANDLE,"intent confidence 0.93 and evidence quality 0.48 both clear threshold on a low-risk intent, with 2 supporting precedent(s)",medium,0.2056,False
"@115888 Tässä oli pilkkuvirhe ainakin minulla. Olisin saanut 3 kk hintaan 9,9 €.",billing_payment,general_complaint_feedback,0.973,LOW,0.9193,AUTO-HANDLE,"intent confidence 0.97 and evidence quality 0.92 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,1.0,False
@115888 Come to Dubai ffs,general_complaint_feedback,general_complaint_feedback,0.9459,LOW,0.683,ESCALATE,evidence flag: low_information_message,hard,0.4877,True
@115888 is there any way I can access the @116130 throwback Thursday playlist from my US based account?,feature_how_to,general_complaint_feedback,0.773,LOW,0.645,AUTO-HANDLE,"intent confidence 0.77 and evidence quality 0.65 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3238,False
@SpotifyCares Windows 10 and primarily using google chrome (if that helps). Thanks!,feature_how_to,general_complaint_feedback,0.7835,LOW,0.7274,ESCALATE,evidence flag: conflicting_precedent,hard,0.4796,False
@SpotifyCares I've been having troubles playing through Google Home today. Any ideas?,playback_streaming_issue,general_complaint_feedback,0.8297,LOW,0.5278,AUTO-HANDLE,"intent confidence 0.83 and evidence quality 0.53 both clear threshold on a low-risk intent, with 2 supporting precedent(s)",medium,0.2296,False
"@SpotifyCares Yeah I do, just these two songs (just noticed another repeat offender 😅) keep popping up. If the team come back with something let me know 👍",content_availability,general_complaint_feedback,0.9601,LOW,0.5879,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.59 both clear threshold on a low-risk intent, with 2 supporting precedent(s)",hard,0.2503,False
@SpotifyCares Nothing...,general_complaint_feedback,general_complaint_feedback,0.9571,LOW,0.7887,ESCALATE,evidence flag: precedent_is_boilerplate_only; evidence flag: low_information_message,hard,1.0,True
@SpotifyCares Still don't work,playback_streaming_issue,general_complaint_feedback,0.9692,LOW,0.6807,AUTO-HANDLE,"intent confidence 0.97 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.5346,False
"hey @115888 create a ""music feed"" where users can re-post and 'like' tracks that friends have re-posted #FreeBizDev #SoundCloudIsBetter",feature_how_to,general_complaint_feedback,0.9405,LOW,0.5058,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.51 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2127,False
@SpotifyCares FYI this hasn’t been fixed still having issue with downloaded songs being choppy it sounds like a cd with scratches what’s up 🤷🏻‍♂️#Spotify,playback_streaming_issue,general_complaint_feedback,0.9166,LOW,0.5114,ESCALATE,evidence flag: conflicting_precedent,hard,0.3188,False
@125633 Is there any chance to make the Mobile App for Android users?,feature_how_to,general_complaint_feedback,0.8611,LOW,0.6241,AUTO-HANDLE,"intent confidence 0.86 and evidence quality 0.62 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2778,False
@SpotifyCares My account name is tcmchiu  I would like to keep only family plan which is HK$ 88 per month.,subscription_plan,subscription_plan,0.8479,MEDIUM,0.4448,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only,easy,0.381,True
Wtf @115888 get your shit together https://t.co/cKhSJkAPct,general_complaint_feedback,general_complaint_feedback,0.9738,LOW,0.8228,ESCALATE,evidence flag: conflicting_precedent,hard,0.8609,True
@SpotifyCares I have a samsung s7 edge. I have the newest Spotify update and the same for my phone.,app_device_bug,general_complaint_feedback,0.6925,LOW,0.5695,AUTO-HANDLE,"intent confidence 0.69 and evidence quality 0.57 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3076,False
"uhhh @115888 why is my playlist completely changed and has become a ""radio"" with like 500 annoying new songs please fix",playback_streaming_issue,general_complaint_feedback,0.9581,LOW,0.6347,ESCALATE,evidence flag: conflicting_precedent,easy,0.2158,False
"@SpotifyCares I'm pretty upset. ""GIVENCHY"" by Rich Gang got taken off Spotify randomly for the second time! What's up?",content_availability,general_complaint_feedback,0.9206,LOW,0.486,AUTO-HANDLE,"intent confidence 0.92 and evidence quality 0.49 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2364,False
@SpotifyCares Yes its okay,general_complaint_feedback,general_complaint_feedback,0.9804,LOW,0.683,ESCALATE,evidence flag: low_information_message,hard,0.5568,True
@SpotifyCares You are missing the point here. I have synced my local files over 5 years from different computers. There is no 1 computer I can go to and sync back the songs. I have lost really important music because of this.,content_availability,general_complaint_feedback,0.7408,LOW,0.4757,AUTO-HANDLE,"intent confidence 0.74 and evidence quality 0.48 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",easy,0.2298,False
@spotifycares I'm having the #spotiamb.0.2.1 problem. Have I been hacked? Could you help?,account_login_access,account_login_access,0.6035,HIGH,0.5111,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.3287,True
@SpotifyCares I didn't opt-in to concert news emails and now I need a presale code for First Aid Kit tickets in Seattle. I haz sad.,content_availability,general_complaint_feedback,0.9539,LOW,0.7512,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.75 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.5223,False
@115888 when will spotfiy come to more countries?,content_availability,general_complaint_feedback,0.9447,LOW,0.6703,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.67 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4222,False
Has anyone else noticed that #iKON has a song under their Spotify profile that isn't theirs? 🤔@SpotifyCares Please fix this :) https://t.co/R6rErbO1MY,content_availability,general_complaint_feedback,0.8794,LOW,0.6321,AUTO-HANDLE,"intent confidence 0.88 and evidence quality 0.63 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3439,False
@SpotifyCares For spotify or twitter?,feature_how_to,general_complaint_feedback,0.9683,LOW,0.6496,ESCALATE,evidence flag: low_information_message,hard,0.5591,False
"@SpotifyCares I deleted my Facebook account and I can no longer login. When I go to submit a help form, it says to login, but I cannot because I refuse to reactivate my Facebook. I tried resetting my password with the email associated w/ account but can't without Facebook. Help ?",account_login_access,account_login_access,0.9587,HIGH,0.5431,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,hard,0.2931,True
It is VERY startling to have a worship playlist going on @115888 and then to have a trap music ad start playing. Almost fell over.,feature_how_to,general_complaint_feedback,0.8796,LOW,0.4114,AUTO-HANDLE,"intent confidence 0.88 and evidence quality 0.41 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2157,False
@115888 I think Spotify is great and app is better than Apple Music. I have to move to Apple due lack of Apple Watch support. Help? :(,cancellation_request,general_complaint_feedback,0.5208,LOW,0.5135,ESCALATE,intent confidence 0.52 < 0.65; top-2 intents are close (margin 0.06 < 0.15): 'general_complaint_feedback' vs 'app_device_bug'; evidence flag: intent_mismatch_with_precedent,easy,0.2575,False
@115888 why cant I switch songs outside the app on my iPhone,playback_streaming_issue,general_complaint_feedback,0.6787,LOW,0.6708,AUTO-HANDLE,"intent confidence 0.68 and evidence quality 0.67 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3801,False
@SpotifyCares I’m not using the free version.,subscription_plan,general_complaint_feedback,0.8365,LOW,0.6121,AUTO-HANDLE,"intent confidence 0.84 and evidence quality 0.61 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.398,False
Someone hacked my Facebook that was linked to my Spotify. Fucking lovely,account_login_access,account_login_access,0.9232,HIGH,0.5471,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.293,True
@SpotifyCares This! https://t.co/zaRzefIP6o,feature_how_to,general_complaint_feedback,0.9728,LOW,0.688,ESCALATE,evidence flag: conflicting_precedent; evidence flag: low_information_message,hard,0.4736,False
"@115888 hey u better bring back ""Complete"" album by BTOB first and dont forget to add ""Brother Act"" album u know",content_availability,content_availability,0.6622,LOW,0.5432,ESCALATE,evidence flag: intent_mismatch_with_precedent,easy,0.3569,True
@SpotifyCares I've been dealing with a billing issue for more than an hour now. This entire thing could have been solved in less than 10 minutes.,billing_payment,general_complaint_feedback,0.8888,LOW,0.6603,AUTO-HANDLE,"intent confidence 0.89 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.2686,False
"@SpotifyCares Hey spotify, my account was hacked into about 30 minutes ago, and I would like to get it recovered as fast as possible.",account_login_access,account_login_access,0.5342,HIGH,0.4604,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.2366,True
@116130 I have Premium as part of my Vodafone mobile monthly bill. Is it possible to pay additional to upgrade to family?,subscription_plan,subscription_plan,0.5736,MEDIUM,0.4449,ESCALATE,intent confidence 0.57 < 0.65; evidence flag: precedent_is_boilerplate_only,easy,0.248,True
@SpotifyCares Apple IPhone 6 https://t.co/zGlVHPa6OD,app_device_bug,general_complaint_feedback,0.5961,LOW,0.6545,ESCALATE,intent confidence 0.60 < 0.65; evidence flag: conflicting_precedent,hard,0.4169,False
@SpotifyCares or this : https://t.co/HvQxHfxfT5,feature_how_to,general_complaint_feedback,0.9586,LOW,0.6587,ESCALATE,evidence flag: conflicting_precedent; evidence flag: low_information_message,hard,0.3953,False
@115888 My auto play radio after my playlist ends is really buggy! Please help!,playback_streaming_issue,general_complaint_feedback,0.8316,LOW,0.6393,AUTO-HANDLE,"intent confidence 0.83 and evidence quality 0.64 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.3457,False
@SpotifyCares can we not show the recently played artists on our profiles?,feature_how_to,general_complaint_feedback,0.9542,LOW,0.6111,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.61 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2524,False
@SpotifyCares Problems***,playback_streaming_issue,general_complaint_feedback,0.9476,LOW,0.5819,ESCALATE,evidence flag: low_information_message,hard,0.2711,False
what is this? @SpotifyCares https://t.co/l2Y0GLPjDX,feature_how_to,general_complaint_feedback,0.9481,LOW,0.7512,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.75 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.5342,False
"Hi @115888 I was wondering why Shawn mendes “Handwritten (Deluxe)” and “Shawn Mendes EP” isn’t on here, is there a way to fix the problem? https://t.co/m6Bi0hsiEb",content_availability,general_complaint_feedback,0.4795,LOW,0.5636,ESCALATE,intent confidence 0.48 < 0.65; top-2 intents are close (margin 0.06 < 0.15): 'general_complaint_feedback' vs 'feature_how_to',easy,0.2511,False
"@SpotifyCares @29949 When I use Spotify in offline mode in the car,  when I choose ""Recent..."" it continously loads with no results.",playback_streaming_issue,playback_streaming_issue,0.7018,MEDIUM,0.466,ESCALATE,evidence flag: intent_mismatch_with_precedent,easy,0.2934,True
@115888 it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,feature_how_to,general_complaint_feedback,0.9377,LOW,0.6617,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.288,False
@SpotifyCares Awesome! Thanks!,general_complaint_feedback,general_complaint_feedback,0.9764,LOW,0.9102,ESCALATE,evidence flag: low_information_message,medium,0.9396,True
@SpotifyCares Apple iPhone: whatever the latest software,app_device_bug,general_complaint_feedback,0.6933,LOW,0.6099,AUTO-HANDLE,"intent confidence 0.69 and evidence quality 0.61 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4206,False
I don’t understand why my @115888 scratches at times lol,feature_how_to,general_complaint_feedback,0.9417,LOW,0.6941,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.69 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.5131,False
"@SpotifyCares Restarted, set up iphone new, tried all and everything, but no results...",playback_streaming_issue,general_complaint_feedback,0.9105,LOW,0.261,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1889,False
"@SpotifyCares Ok, 2018 Skoda Kodiaq, Columbus Big Navi, CarPlay",app_device_bug,general_complaint_feedback,0.9398,LOW,0.7387,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.74 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.4897,False
@115888 Stop playing them . It's annoying,playback_streaming_issue,general_complaint_feedback,0.8674,LOW,0.607,AUTO-HANDLE,"intent confidence 0.87 and evidence quality 0.61 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.274,False
@SpotifyCares And I'm on Spotify Version 8.4.28,playback_streaming_issue,general_complaint_feedback,0.5155,LOW,0.525,ESCALATE,intent confidence 0.52 < 0.65; top-2 intents are close (margin 0.04 < 0.15): 'general_complaint_feedback' vs 'app_device_bug'; evidence flag: intent_mismatch_with_precedent; evidence flag: conflicting_precedent,hard,0.4423,False
"@SpotifyCares i tried desktop app, iphone app, ipad app, and web player. i gave up and bought the songs on itunes. it was for a funeral this am.",content_availability,general_complaint_feedback,0.794,HIGH,0.5697,ESCALATE,Hard policy block: vulnerability_or_distress,hard,0.2557,False
"@117153 Hi! My problem is everytime I try spotify premium, it always says ""Unable to Connect"". Thank you! :) https://t.co/csMOC1NVRl",playback_streaming_issue,general_complaint_feedback,0.8936,LOW,0.6885,AUTO-HANDLE,"intent confidence 0.89 and evidence quality 0.69 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.3452,False
@115888 why isn't searching for multiple things in your library a feature yet smh https://t.co/v4BkmvPoUk,feature_how_to,general_complaint_feedback,0.9415,LOW,0.62,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.62 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2548,False
"@117168 mid '11 Macbook Air, MacOS 10.13.1, Spotify ver 1.0.66.478.g1296534d",app_device_bug,general_complaint_feedback,0.8822,LOW,0.672,AUTO-HANDLE,"intent confidence 0.88 and evidence quality 0.67 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4618,False
@SpotifyCares after 4 years and @115888 still says to the albanians to enter their e-mail cuz SOON they will manage to come to out country.,content_availability,general_complaint_feedback,0.9643,LOW,0.3919,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1828,False
@SpotifyCares iPhone 7 Plus Spotify version 8.4.25.906,app_device_bug,app_device_bug,0.5165,MEDIUM,0.8646,ESCALATE,intent confidence 0.52 < 0.65; top-2 intents are close (margin 0.04 < 0.15): 'app_device_bug' vs 'general_complaint_feedback',medium,1.0,True
"@SpotifyCares I just want to make playlists and chill downtown, that’s not a category....",feature_how_to,general_complaint_feedback,0.9722,LOW,0.516,ESCALATE,evidence flag: conflicting_precedent,hard,0.2807,False
"Hello @115888 : I see playlists on my app I never added on my profile, like someone else is connected. Any help?",account_login_access,general_complaint_feedback,0.9091,LOW,0.4361,AUTO-HANDLE,"intent confidence 0.91 and evidence quality 0.44 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2229,False
"@SpotifyCares, I want to merge my Spotify and Hulu account but it wont let me. I am subscribed in the student program. 👨‍🎓",subscription_plan,general_complaint_feedback,0.8859,LOW,0.576,ESCALATE,evidence flag: conflicting_precedent,hard,0.403,False
@SpotifyCares I have not noticed anything else not working. Restart and log in/out did not work either.,playback_streaming_issue,general_complaint_feedback,0.7462,LOW,0.6241,AUTO-HANDLE,"intent confidence 0.75 and evidence quality 0.62 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3799,False
"@SpotifyCares I do not get any error messages on my phone (Samsung Galaxy S8+), but i do get a ""Song not available"" message on my computer (Windows 10).",content_availability,content_availability,0.7921,LOW,0.4881,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: conflicting_precedent,easy,0.3317,True
@SpotifyCares I'm on iOS 11.1 &amp; Spotify 8.4.25.906 but i don't know if this really matters,app_device_bug,general_complaint_feedback,0.9122,LOW,0.6055,ESCALATE,evidence flag: intent_mismatch_with_precedent,hard,0.5352,False
@117168 Are you going to fix the issue with people being unable to play certain artists?,content_availability,general_complaint_feedback,0.7865,LOW,0.4015,ESCALATE,evidence flag: intent_mismatch_with_precedent,hard,0.3127,False
@SpotifyCares Ipod touch 6th gen. 8.4.3.884,app_device_bug,general_complaint_feedback,0.9447,LOW,0.5188,ESCALATE,evidence flag: conflicting_precedent,hard,0.3237,False
"@SpotifyCares iPhone X, running 8.4.25.906, and I have an Echo and an Echo Dot, both of which were possessed at different times last night",app_device_bug,general_complaint_feedback,0.6603,LOW,0.5719,ESCALATE,evidence flag: conflicting_precedent,easy,0.3269,False
@117153 Can't login to my account with facebook. please help,account_login_access,account_login_access,0.7447,HIGH,0.6601,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,medium,0.6638,True
