id,message,gold_intent,proposed_intent,weak_rule_label,model_pred,model_confidence,stratum,difficulty,label_source,reviewed,notes,conversation_id
35,"Dear @116130 you are officially shit. Your suggested songs ""feature"" ruins the listening experience turning everything into a @244027 playlist.",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9749,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,535333
36,Not really happy @SpotifyCares with so far spending over $100 on two SD cards just to have Spotify corrupt them.  2/2,subscription_plan,subscription_plan,subscription_plan,general_complaint_feedback,0.8296,per_intent:subscription_plan,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,544591
37,@SpotifyCares i’ve asked before but never got a definite answer.. are you bringing back the ‘most listened to songs of the year’ made specifically for everyone?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.5858,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,554167
38,@SpotifyCares is there a way to chang my membership from monthly to annual so that I can get the lower price in the long run?  Would it work if I cancel my current plan and restart with annual? Would I then lose all my content?,cancellation_request,cancellation_request,cancellation_request,cancellation_request,0.5044,per_intent:cancellation_request,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,558581
39,"@SpotifyCares My card had expired. MAYBE it should just actually say that, rather than a nonsense error which means i don’t know what the issue is?",billing_payment,billing_payment,billing_payment,general_complaint_feedback,0.8138,per_intent:billing_payment,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,617762
40,"@115888 Tässä oli pilkkuvirhe ainakin minulla. Olisin saanut 3 kk hintaan 9,9 €.",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9861,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,639941
41,@115888 Come to Dubai ffs,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9909,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,115306
42,@115888 is there any way I can access the @116130 throwback Thursday playlist from my US based account?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.4954,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,681215
43,@SpotifyCares Windows 10 and primarily using google chrome (if that helps). Thanks!,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.5367,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,698866
44,@SpotifyCares I've been having troubles playing through Google Home today. Any ideas?,app_device_bug,app_device_bug,app_device_bug,general_complaint_feedback,0.4997,per_intent:app_device_bug,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,712185
45,"@SpotifyCares Yeah I do, just these two songs (just noticed another repeat offender 😅) keep popping up. If the team come back with something let me know 👍",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.96,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,720965
46,@SpotifyCares Nothing...,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9957,short,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,761398
47,@SpotifyCares Still don't work,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9896,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,761398
48,"hey @115888 create a ""music feed"" where users can re-post and 'like' tracks that friends have re-posted #FreeBizDev #SoundCloudIsBetter",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9205,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,792876
49,@SpotifyCares FYI this hasn’t been fixed still having issue with downloaded songs being choppy it sounds like a cd with scratches what’s up 🤷🏻‍♂️#Spotify,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8961,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,805707
50,@125633 Is there any chance to make the Mobile App for Android users?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.943,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,835861
51,@SpotifyCares My account name is tcmchiu  I would like to keep only family plan which is HK$ 88 per month.,subscription_plan,subscription_plan,subscription_plan,subscription_plan,0.9974,per_intent:subscription_plan,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,836715
52,Wtf @115888 get your shit together https://t.co/cKhSJkAPct,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.992,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,844347
53,@SpotifyCares I have a samsung s7 edge. I have the newest Spotify update and the same for my phone.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,app_device_bug,0.673,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,850020
54,"uhhh @115888 why is my playlist completely changed and has become a ""radio"" with like 500 annoying new songs please fix",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9282,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,855241
55,"@SpotifyCares I'm pretty upset. ""GIVENCHY"" by Rich Gang got taken off Spotify randomly for the second time! What's up?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6155,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,907547
56,@SpotifyCares Yes its okay,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9994,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,910863
57,@SpotifyCares You are missing the point here. I have synced my local files over 5 years from different computers. There is no 1 computer I can go to and sync back the songs. I have lost really important music because of this.,content_availability,content_availability,content_availability,content_availability,0.7298,per_intent:content_availability,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,941231
58,@spotifycares I'm having the #spotiamb.0.2.1 problem. Have I been hacked? Could you help?,account_login_access,account_login_access,account_login_access,account_login_access,0.9829,high_risk,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,957245
59,@SpotifyCares I didn't opt-in to concert news emails and now I need a presale code for First Aid Kit tickets in Seattle. I haz sad.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.94,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,980265
60,@115888 when will spotfiy come to more countries?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9112,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,995617
61,Has anyone else noticed that #iKON has a song under their Spotify profile that isn't theirs? 🤔@SpotifyCares Please fix this :) https://t.co/R6rErbO1MY,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.5318,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1004823
62,@SpotifyCares For spotify or twitter?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9894,short,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1028771
63,"@SpotifyCares I deleted my Facebook account and I can no longer login. When I go to submit a help form, it says to login, but I cannot because I refuse to reactivate my Facebook. I tried resetting my password with the email associated w/ account but can't without Facebook. Help ?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,account_login_access,0.9986,long,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1029781
64,It is VERY startling to have a worship playlist going on @115888 and then to have a trap music ad start playing. Almost fell over.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6871,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1033173
65,@115888 I think Spotify is great and app is better than Apple Music. I have to move to Apple due lack of Apple Watch support. Help? :(,app_device_bug,app_device_bug,app_device_bug,app_device_bug,0.9272,per_intent:app_device_bug,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1036658
66,@115888 why cant I switch songs outside the app on my iPhone,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,app_device_bug,0.321,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1065566
67,@SpotifyCares I’m not using the free version.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.7045,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1075794
68,Someone hacked my Facebook that was linked to my Spotify. Fucking lovely,account_login_access,account_login_access,account_login_access,account_login_access,0.9971,high_risk,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1113011
69,@SpotifyCares This! https://t.co/zaRzefIP6o,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9993,short,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1145863
70,"@115888 hey u better bring back ""Complete"" album by BTOB first and dont forget to add ""Brother Act"" album u know",content_availability,content_availability,content_availability,content_availability,0.9753,per_intent:content_availability,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1152040
71,@SpotifyCares I've been dealing with a billing issue for more than an hour now. This entire thing could have been solved in less than 10 minutes.,billing_payment,billing_payment,billing_payment,general_complaint_feedback,0.7406,per_intent:billing_payment,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1174977
72,"@SpotifyCares Hey spotify, my account was hacked into about 30 minutes ago, and I would like to get it recovered as fast as possible.",account_login_access,account_login_access,account_login_access,account_login_access,0.8472,high_risk,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1188284
73,@116130 I have Premium as part of my Vodafone mobile monthly bill. Is it possible to pay additional to upgrade to family?,subscription_plan,subscription_plan,subscription_plan,subscription_plan,0.9263,per_intent:subscription_plan,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1220088
74,@SpotifyCares Apple IPhone 6 https://t.co/zGlVHPa6OD,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.5106,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1236936
75,@SpotifyCares or this : https://t.co/HvQxHfxfT5,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9972,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1259366
76,@115888 My auto play radio after my playlist ends is really buggy! Please help!,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.5094,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1272632
77,@SpotifyCares can we not show the recently played artists on our profiles?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8864,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1276535
78,@SpotifyCares Problems***,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9631,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1280128
79,what is this? @SpotifyCares https://t.co/l2Y0GLPjDX,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9885,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1302931
80,"Hi @115888 I was wondering why Shawn mendes “Handwritten (Deluxe)” and “Shawn Mendes EP” isn’t on here, is there a way to fix the problem? https://t.co/m6Bi0hsiEb",feature_how_to,feature_how_to,feature_how_to,feature_how_to,0.6291,per_intent:feature_how_to,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1342976
81,"@SpotifyCares @29949 When I use Spotify in offline mode in the car,  when I choose ""Recent..."" it continously loads with no results.",playback_streaming_issue,playback_streaming_issue,playback_streaming_issue,playback_streaming_issue,0.9094,per_intent:playback_streaming_issue,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1356649
82,@115888 it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8237,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1368562
83,@SpotifyCares Awesome! Thanks!,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9984,per_intent:general_complaint_feedback,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1368562
84,@SpotifyCares Apple iPhone: whatever the latest software,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,app_device_bug,0.6475,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1370958
85,I don’t understand why my @115888 scratches at times lol,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8901,per_intent:general_complaint_feedback,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1370958
86,"@SpotifyCares Restarted, set up iphone new, tried all and everything, but no results...",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8371,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1440073
87,"@SpotifyCares Ok, 2018 Skoda Kodiaq, Columbus Big Navi, CarPlay",app_device_bug,app_device_bug,app_device_bug,general_complaint_feedback,0.9176,per_intent:app_device_bug,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1440073
88,@115888 Stop playing them . It's annoying,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9236,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1452527
89,@SpotifyCares And I'm on Spotify Version 8.4.28,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,app_device_bug,0.9405,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1490606
90,"@SpotifyCares i tried desktop app, iphone app, ipad app, and web player. i gave up and bought the songs on itunes. it was for a funeral this am.",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.41,high_risk,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1492593
91,"@117153 Hi! My problem is everytime I try spotify premium, it always says ""Unable to Connect"". Thank you! :) https://t.co/csMOC1NVRl",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6396,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1505026
92,@115888 why isn't searching for multiple things in your library a feature yet smh https://t.co/v4BkmvPoUk,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9016,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1513481
93,"@117168 mid '11 Macbook Air, MacOS 10.13.1, Spotify ver 1.0.66.478.g1296534d",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8926,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1516268
94,@SpotifyCares after 4 years and @115888 still says to the albanians to enter their e-mail cuz SOON they will manage to come to out country.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9682,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,1525195
